<3> 2019-04-27 08:33:57  DM_Log_Init, success
<3> 2019-04-27 08:33:57  DM_Get_Sys_Info, <In>
<3> 2019-04-27 08:33:58  DM_Get_Sys_Info, success
<3> 2019-04-27 08:33:58  DM_Get_User_info, <In>
<3> 2019-04-27 08:33:58  DM_Get_User_info, success
<3> 2019-04-27 08:33:58  DM_Open, success
<3> 2019-04-27 08:33:58  DM_Close, success
<3> 2019-04-27 08:36:33  DM_Log_Init, success
<3> 2019-04-27 08:36:33  DM_Get_Sys_Info, <In>
<3> 2019-04-27 08:36:33  DM_Get_Sys_Info, success
<3> 2019-04-27 08:36:33  DM_Get_User_info, <In>
<3> 2019-04-27 08:36:33  DM_Get_User_info, success
<3> 2019-04-27 08:36:33  DM_Get_Net_info, <In>
<3> 2019-04-27 08:36:33  DM_Get_Net_info, success
<3> 2019-04-27 08:36:33  DM_Open, success
<3> 2019-04-27 08:36:33  DM_Close, success
<3> 2019-04-27 08:37:54  DM_Log_Init, success
<3> 2019-04-27 08:37:54  DM_Get_Sys_Info, <In>
<3> 2019-04-27 08:37:54  DM_Get_Sys_Info, success
<3> 2019-04-27 08:37:54  DM_Get_User_info, <In>
<3> 2019-04-27 08:37:54  DM_Get_User_info, success
<3> 2019-04-27 08:37:54  DM_Get_Net_info, <In>
<3> 2019-04-27 08:37:54  DM_Get_Net_info, success
<3> 2019-04-27 08:37:54  DM_Open, success
<3> 2019-04-27 08:37:54  DM_Close, success
<3> 2019-04-27 08:55:50  DM_Log_Init, success
<3> 2019-04-27 08:55:50  DM_Get_Sys_Info, <In>
<3> 2019-04-27 08:55:50  DM_Get_Sys_Info, success
<3> 2019-04-27 08:55:50  DM_Get_User_info, <In>
<3> 2019-04-27 08:55:51  DM_Get_User_info, success
<3> 2019-04-27 08:55:51  DM_Get_Net_info, <In>
<3> 2019-04-27 08:56:48  DM_Log_Init, success
<3> 2019-04-27 08:56:48  DM_Get_Sys_Info, <In>
<3> 2019-04-27 08:56:48  DM_Get_Sys_Info, success
<3> 2019-04-27 08:56:48  DM_Get_User_info, <In>
<3> 2019-04-27 08:56:48  DM_Get_User_info, success
<3> 2019-04-27 08:56:48  DM_Get_Net_info, <In>
<3> 2019-04-27 08:58:24  DM_Log_Init, success
<3> 2019-04-27 08:58:24  DM_Get_Sys_Info, <In>
<3> 2019-04-27 08:58:24  DM_Get_Sys_Info, success
<3> 2019-04-27 08:58:24  DM_Get_User_info, <In>
<3> 2019-04-27 08:58:24  DM_Get_User_info, success
<3> 2019-04-27 08:58:24  DM_Get_Net_info, <In>
<3> 2019-04-27 08:58:24  DM_Get_Net_info, success
<3> 2019-04-27 08:58:24  DM_Open, success
<3> 2019-04-27 08:58:24  DM_Close, success
<3> 2019-04-27 08:59:06  DM_Log_Init, success
<3> 2019-04-27 08:59:06  DM_Get_Sys_Info, <In>
<3> 2019-04-27 08:59:06  DM_Get_Sys_Info, success
<3> 2019-04-27 08:59:06  DM_Get_User_info, <In>
<3> 2019-04-27 08:59:06  DM_Get_User_info, success
<3> 2019-04-27 08:59:06  DM_Get_Net_info, <In>
<3> 2019-04-27 09:02:21  DM_Log_Init, success
<3> 2019-04-27 09:02:21  DM_Get_Sys_Info, <In>
<3> 2019-04-27 09:02:21  DM_Get_Sys_Info, success
<3> 2019-04-27 09:02:21  DM_Get_User_info, <In>
<3> 2019-04-27 09:02:21  DM_Get_User_info, success
<3> 2019-04-27 09:02:21  DM_Get_Net_info, <In>
<3> 2019-04-27 09:02:21  DM_Get_Net_info, success
<3> 2019-04-27 09:02:21  DM_Open, success
<3> 2019-04-27 09:02:21  DM_Close, success
<3> 2019-04-27 09:02:59  DM_Log_Init, success
<3> 2019-04-27 09:02:59  DM_Get_Sys_Info, <In>
<3> 2019-04-27 09:02:59  DM_Get_Sys_Info, success
<3> 2019-04-27 09:02:59  DM_Get_User_info, <In>
<3> 2019-04-27 09:02:59  DM_Get_User_info, success
<3> 2019-04-27 09:02:59  DM_Get_Net_info, <In>
<3> 2019-04-27 09:02:59  DM_Get_Net_info, success
<3> 2019-04-27 09:02:59  DM_Open, success
<3> 2019-04-27 09:02:59  DM_Close, success
<3> 2019-04-27 09:11:02  DM_Log_Init, success
<3> 2019-04-27 09:11:02  DM_Get_Sys_Info, <In>
<3> 2019-04-27 09:11:02  DM_Get_Sys_Info, success
<3> 2019-04-27 09:11:02  DM_Get_User_info, <In>
<3> 2019-04-27 09:11:02  DM_Get_User_info, success
<3> 2019-04-27 09:11:02  DM_Get_Net_info, <In>
<3> 2019-04-27 09:11:02  DM_Get_Net_info, success
<3> 2019-04-27 09:11:02  DM_Open, success
<3> 2019-04-27 09:11:02  DM_Close, success
<3> 2019-04-27 09:11:56  DM_Log_Init, success
<3> 2019-04-27 09:11:56  DM_Get_Sys_Info, <In>
<3> 2019-04-27 09:11:56  DM_Get_Sys_Info, success
<3> 2019-04-27 09:11:56  DM_Get_User_info, <In>
<3> 2019-04-27 09:11:56  DM_Get_User_info, success
<3> 2019-04-27 09:11:56  DM_Get_Net_info, <In>
<3> 2019-04-27 09:11:56  DM_Get_Net_info, success
<3> 2019-04-27 09:11:56  DM_Open, success
<3> 2019-04-27 09:11:56  DM_Close, success
<3> 2019-04-27 09:13:33  DM_Log_Init, success
<3> 2019-04-27 09:13:33  DM_Get_Sys_Info, <In>
<3> 2019-04-27 09:13:33  DM_Get_Sys_Info, success
<3> 2019-04-27 09:13:33  DM_Get_User_info, <In>
<3> 2019-04-27 09:13:33  DM_Get_User_info, success
<3> 2019-04-27 09:13:33  DM_Get_Net_info, <In>
<3> 2019-04-27 09:13:33  DM_Get_Net_info, success
<3> 2019-04-27 09:13:33  DM_Open, success
